title
Guns in the Heather
Hamilton
Harriet the Spy: Blog Wars
A Haunting in Venice
Heidi
Hellraiser
The Help
The Hero from Otherwhere
Holes
Hollywood Stargirl
Homeward Bound: The Incredible Journey
Howl's Moving Castle
Hunchback
The Hunchback of Notre Dame
I Am Number Four
In Search of the Castaways
The Incredible Journey
The Invisible
The Island at the Top of the World
James and the Giant Peach
The Jennie Project
John Carter
Johnny Tremain
The Joy Luck Club
The Jungle Book
The Jungle Book (2016 film)
The Jungle Book 2 (live-action film)
Category:The Jungle Book
The Jungle Book: Mowgli's Story
Kidnapped
Kiki's Delivery Service
King of the Elves
Kingdom of the Planet of the Apes
A Knight in Camelot
Krippendorf's Tribe
Lady and the Tramp
Lady and the Tramp (2019 film)
Lantern Hill
The Last Duel
The Last Song
Lemonade Mouth
The Light in the Forest
Lilly the Witch: The Dragon and the Magic Book
The Little Broomstick
Little House on the Prairie (TV miniseries)
The Little House
The Little Mermaid
The Little Mermaid (2023 film)
The Love Bug
Lt. Robin Crusoe USN
Maleficent (film)
Mark Twain and Me
Mars Needs Moms
Marvel Rising: Secret Warriors
Mary Poppins (film)
Mary Poppins Returns
Meet the Robinsons
Merlin (film)
Mickey's Christmas Carol
"Mickey, Donald, Goofy: The Three Musketeers"
Mistress Masham's Repose
Mockingbird (film)
Model Behavior (2000 film)
Moon Pilot
The Moon-Spinners
Mountain Born
The Muppet Christmas Carol
The Muppets' Wizard of Oz
Never a Dull Moment
Never Cry Wolf
Nightmare Alley
Nomadland
Not Quite Human
Not Quite Human II
The Nutcracker and the Four Realms
The Old Curiosity Shop
Old Yeller
Oliver & Company
Oliver Twist
Oliver Twist (film)
The One and Only Ivan
One Hundred and One Dalmatians
The Other Me
The Other Side of Heaven
Out of My Mind
Oz the Great and Powerful
The Parent Trap
The Parent Trap II
The Parent Trap III
The Parent Trap IV: Hawaiian Honeymoon
The Parent Trap (1998 film)
Perri
The Personal History of David Copperfield
Pete's Dragon
Pete's Dragon (2016 film)
Peter Pan & Wendy
Peter Pan (film)
Pinocchio (2022 film)
Pinocchio (film)
Polly (1989 film)
Pollyanna
Poor Things
The Prestige
The Prince and the Pauper
Prince Brat and The Whipping Boy
The Princess and the Frog
The Princess and the Frog (live-action film)
The Princess Diaries 2: Royal Engagement
The Princess Diaries
Quasi
Queen of Katwe
Race to Witch Mountain
Radio Rebel
Rascal
Category:Rascal
Read It and Weep
Category:Read It and Weep
The Reluctant Dragon
Category:The Reluctant Dragon
The Rescuers
Return from Witch Mountain
Return to Oz
Category:Return to Oz
Ride a Wild Pony
A Ring of Endless Light
"Rob Roy, the Highland Rogue"
Robin Hood (film)
Robin Hood (upcoming CGI film)
Rodgers & Hammerstein's Cinderella
Rosaline
Rose Red (film)
The Scarlet Letter
The Secret World of Arrietty
Secretariat
"Selma, Lord, Selma"
The Shaggy D.A.
The Shaggy Dog
The Shaggy Dog (1994 film)
The Shaggy Dog (2006 film)
Shang-Chi and the Legend of the Ten Rings
The Shepherd (film)
Shipwrecked
Simon Birch
Sleeping Beauty
The Slumber Party
The Small One
Sneakerella
Snow Dogs
Snow White (film)
Snowball Express
So Dear to My Heart
Something Wicked This Way Comes
Something Wicked This Way Comes (remake)
Song for a Whale
Song of the South
The Sorcerer's Apprentice (film)
Sounder
Stargirl (film)
Starship Troopers
Stepsister from Planet Weird
Still Not Quite Human
The Story of Robin Hood and His Merrie Men
Superfudge
The Swap
Swiss Family Robinson
Swiss Family Robinson (upcoming film)
The Sword and the Rose
The Sword in the Stone
The Sword in the Stone (live-action film)
Tales from Earthsea
Tarzan (film)
Tex
That Darn Cat (1997 film)
That Darn Cat! (1965 film)
The Amateur
The Graveyard Book
The Many Adventures of Winnie the Pooh
The Princess Diaries 3
The Tourist (film)
Third Man on the Mountain
Those Calloways
A Thousand Acres
The Three Lives of Thomasina
The Three Musketeers
Category:A Tiger Walks
A Tiger Walks
Timmy Failure: Mistakes Were Made
Tink
Toby Tyler
Tom and Huck
Category:Tom Sawyer
Tonka
Treasure Island
Treasure of Matecumbe
Treasure Planet
Tuck Everlasting
Twitches
Twitches Too
The Ugly Dachshund
Under the Tuscan Sun
Unidentified Flying Oddball
Upside-Down Magic
Victory Through Air Power
Washington Square
Category:The Watcher in the Woods
The Watcher in the Woods
Wendy (film)
Where the Red Fern Grows
Category:Where the Red Fern Grows
White Fang
Who Framed Roger Rabbit
Category:The Wind in the Willows
The Woman in the Window
A Wrinkle in Time (2003 film)
A Wrinkle in Time (2018 film)
You Wish!
Young Woman and the Sea
Zapped
Zenon: Girl of the 21st Century
Zenon: The Zequel
Zenon: Z3
Zombies (film)
