title,year,score,actors,director
"
Honey, I Shrunk the Kids (1989)  76%
",(1989),76%,"
Starring: Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland","
Directed By: Joe Johnston"
"
The Little Mermaid (1989)  91%
",(1989),91%,"
Starring: Jodi Benson, Pat Carroll, Christopher Daniel Barnes, Rene Auberjonois","
Directed By: Ron Clements, John Musker"
"
The Great Mouse Detective (1986)  76%
",(1986),76%,"
Starring: Vincent Price, Barrie Ingham, Val Bettin, Susanne Pollatschek","
Directed By: John Musker, Ron Clements, David Michener, Burny Mattinson"
"
Flight of the Navigator (1986)  84%
",(1986),84%,"
Starring: Joey Cramer, Veronica Cartwright, Cliff DeYoung, Sarah Jessica Parker","
Directed By: Randal Kleiser"
"
Tron (1982)  73%
",(1982),73%,"
Starring: Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan","
Directed By: Steven Lisberger"
"
The Fox and the Hound (1981)  75%
",(1981),75%,"
Starring: Mickey Rooney, Kurt Russell, Pearl Bailey, Jack Albertson","
Directed By: Ted Berman, Richard Rich, Art Stevens"
"
The Many Adventures of Winnie the Pooh (1977)  100%
",(1977),100%,"
Starring: Sebastian Cabot, John Fiedler, Sterling Holloway, Clint Howard","
Directed By: John Lounsbery, Wolfgang Reithermann"
"
The Rescuers (1977)  79%
",(1977),79%,"
Starring: Bob Newhart, Eva Gabor, Geraldine Page, Joe Flynn","
Directed By: John Lounsbery, Wolfgang Reitherman, Art Stevens"
"
Escape to Witch Mountain (1975)  73%
",(1975),73%,"
Starring: Eddie Albert, Ray Milland, Donald Pleasence, Kim Richards","
Directed By: John Hough"
"
Robin Hood (1973)  58%
",(1973),58%,"
Starring: Brian Bedford, Peter Ustinov, Roger Miller, Pat Buttram","
Directed By: Wolfgang Reitherman"
"
The Aristocats (1970)  64%
",(1970),64%,"
Starring: Phil Harris, Eva Gabor, Sterling Holloway, Scatman Crothers","
Directed By: Wolfgang Reitherman"
"
The Love Bug (1968)  78%
",(1968),78%,"
Starring: Dean Jones, Michele Lee, David Tomlinson, Buddy Hackett","
Directed By: Robert Stevenson"
"
The Jungle Book (1967)  88%
",(1967),88%,"
Starring: Phil Harris, Sebastian Cabot, Louis Prima, George Sanders","
Directed By: Wolfgang Reitherman"
"
Mary Poppins (1964)  96%
",(1964),96%,"
Starring: Julie Andrews, Dick Van Dyke, Glynis Johns, David Tomlinson","
Directed By: Robert Stevenson"
"
The Sword in the Stone (1963)  68%
",(1963),68%,"
Starring: Sebastian Cabot, Rickie Sorensen, Alan Napier, Karl Swenson","
Directed By: Wolfgang Reitherman"
"
One Hundred and One Dalmatians (1961)  98%
",(1961),98%,"
Starring: Rod Taylor, Betty Lou Gerson, Cate Bauer, Lisa Daniels","
Directed By: Wolfgang Reitherman, Hamilton Luske, Clyde Geronimi"
"
The Parent Trap (1961)  90%
",(1961),90%,"
Starring: Hayley Mills, Maureen O'Hara, Brian Keith, Charlie Ruggles","
Directed By: David Swift"
"
Pollyanna (1960)  86%
",(1960),86%,"
Starring: Hayley Mills, Jane Wyman, Richard Egan, Karl Malden","
Directed By: David Swift"
"
Swiss Family Robinson (1960)  82%
",(1960),82%,"
Starring: John Mills, Dorothy McGuire, James MacArthur, Janet Munro","
Directed By: Ken Annakin"
"
Sleeping Beauty (1959)  89%
",(1959),89%,"
Starring: Mary Costa, Bill Shirley, Eleanor Audley, Verna Felton","
Directed By: Clyde Geronimi"
"
Old Yeller (1957)  100%
",(1957),100%,"
Starring: Dorothy McGuire, Fess Parker, Tommy Kirk, Kevin Corcoran","
Directed By: Robert Stevenson"
"
Lady and the Tramp (1955)  93%
",(1955),93%,"
Starring: Peggy Lee, Barbara Luddy, Larry Roberts, Bill Thompson","
Directed By: Clyde Geronimi, Wilfred Jackson, Hamilton Luske"
"
20,000 Leagues Under the Sea (1954)  90%
",(1954),90%,"
Starring: Kirk Douglas, James Mason, Paul Lukas, Peter Lorre","
Directed By: Richard Fleischer"
"
Peter Pan (1953)  77%
",(1953),77%,"
Starring: Bobby Driscoll, Kathryn Beaumont, Hans Conried, Bill Thompson","
Directed By: Clyde Geronimi, Wilfred Jackson, Hamilton Luske"
"
Alice in Wonderland (1951)  84%
",(1951),84%,"
Starring: Kathryn Beaumont, Ed Wynn, Richard Haydn, Sterling Holloway","
Directed By: Clyde Geronimi, Wilfred Jackson, Hamilton Luske"
"
Cinderella (1950)  98%
",(1950),98%,"
Starring: Ilene Woods, Eleanor Audley, Verna Felton, Claire Du Brey","
Directed By: Clyde Geronimi, Wilfred Jackson, Hamilton Luske"
"
Bambi (1942)  91%
",(1942),91%,"
Starring: Hardie Albright, Stan Alexander, Peter Behn, Tim Davis","
Directed By: David Hand"
"
Dumbo (1941)  95%
",(1941),95%,"
Starring: Herman Bing, Billy Bletcher, Edward Brophy, Jim Carmichael","
Directed By: Ben Sharpsteen"
"
Fantasia (1940)  95%
",(1940),95%,"
Starring: Deems Taylor, Leopold Stokowski, Walt Disney, Julietta Novis","
Directed By: James Algar, Samuel Armstrong, Ford Beebe, Norman Ferguson"
"
Pinocchio (1940)  100%
",(1940),100%,"
Starring: Don Brodie, Walter Catlett, Frankie Darro, Cliff Edwards","
Directed By: Ben Sharpsteen, Hamilton Luske"
"
Snow White and the Seven Dwarfs (1937)  97%
",(1937),97%,"
Starring: Adriana Caselotti, Harry Stockwell, Lucille La Verne, Moroni Olsen","
Directed By: David Hand"
