title,year,score,actors,director,comparison_score
Hocus Pocus,1993,40%,"['Bette Midler', ' Sarah Jessica Parker', ' Kathy Najimy', ' Omri Katz']",['Kenny Ortega'],4.0
Newsies,1992,39%,"['Christian Bale', ' Robert Duvall', ' Ann-Margret', ' David Moscow']",['Kenny Ortega'],3.9
Aladdin,1992,95%,"['Scott Weinger', ' Robin Williams', ' Linda Larkin', ' Jonathan Freeman']","['Ron Clements', ' John Musker']",9.5
The Muppet Christmas Carol,1992,77%,"['Michael Caine', ' Dave Goelz', ' Steve Whitmire', ' Jerry Nelson']",['Brian Henson'],7.7
The Rocketeer,1991,67%,"['Billy Campbell', ' Jennifer Connelly', ' Timothy Dalton', ' Alan Arkin']",['Joe Johnston'],6.7
Beauty and the Beast,1991,93%,"[""Paige O'Hara"", ' Robby Benson', ' Richard White', ' Jerry Orbach']","['Gary Trousdale', ' Kirk Wise']",9.3
"Honey, I Shrunk the Kids",1989,76%,"['Rick Moranis', ' Matt Frewer', ' Marcia Strassman', ' Kristine Sutherland']",['Joe Johnston'],7.6
The Little Mermaid,1989,91%,"['Jodi Benson', ' Pat Carroll', ' Christopher Daniel Barnes', ' Rene Auberjonois']","['Ron Clements', ' John Musker']",9.1
The Great Mouse Detective,1986,76%,"['Vincent Price', ' Barrie Ingham', ' Val Bettin', ' Susanne Pollatschek']","['John Musker', ' Ron Clements', ' David Michener', ' Burny Mattinson']",7.6
Flight of the Navigator,1986,84%,"['Joey Cramer', ' Veronica Cartwright', ' Cliff DeYoung', ' Sarah Jessica Parker']",['Randal Kleiser'],8.4
Tron,1982,73%,"['Jeff Bridges', ' Bruce Boxleitner', ' David Warner', ' Cindy Morgan']",['Steven Lisberger'],7.3
The Fox and the Hound,1981,75%,"['Mickey Rooney', ' Kurt Russell', ' Pearl Bailey', ' Jack Albertson']","['Ted Berman', ' Richard Rich', ' Art Stevens']",7.5
The Many Adventures of Winnie the Pooh,1977,100%,"['Sebastian Cabot', ' John Fiedler', ' Sterling Holloway', ' Clint Howard']","['John Lounsbery', ' Wolfgang Reithermann']",10.0
The Rescuers,1977,79%,"['Bob Newhart', ' Eva Gabor', ' Geraldine Page', ' Joe Flynn']","['John Lounsbery', ' Wolfgang Reitherman', ' Art Stevens']",7.9
Escape to Witch Mountain,1975,73%,"['Eddie Albert', ' Ray Milland', ' Donald Pleasence', ' Kim Richards']",['John Hough'],7.3
Robin Hood,1973,58%,"['Brian Bedford', ' Peter Ustinov', ' Roger Miller', ' Pat Buttram']",['Wolfgang Reitherman'],5.8
The Aristocats,1970,64%,"['Phil Harris', ' Eva Gabor', ' Sterling Holloway', ' Scatman Crothers']",['Wolfgang Reitherman'],6.4
The Love Bug,1968,78%,"['Dean Jones', ' Michele Lee', ' David Tomlinson', ' Buddy Hackett']",['Robert Stevenson'],7.8
The Jungle Book,1967,88%,"['Phil Harris', ' Sebastian Cabot', ' Louis Prima', ' George Sanders']",['Wolfgang Reitherman'],8.8
Mary Poppins,1964,96%,"['Julie Andrews', ' Dick Van Dyke', ' Glynis Johns', ' David Tomlinson']",['Robert Stevenson'],9.6
The Sword in the Stone,1963,68%,"['Sebastian Cabot', ' Rickie Sorensen', ' Alan Napier', ' Karl Swenson']",['Wolfgang Reitherman'],6.8
One Hundred and One Dalmatians,1961,98%,"['Rod Taylor', ' Betty Lou Gerson', ' Cate Bauer', ' Lisa Daniels']","['Wolfgang Reitherman', ' Hamilton Luske', ' Clyde Geronimi']",9.8
The Parent Trap,1961,90%,"['Hayley Mills', "" Maureen O'Hara"", ' Brian Keith', ' Charlie Ruggles']",['David Swift'],9.0
Pollyanna,1960,86%,"['Hayley Mills', ' Jane Wyman', ' Richard Egan', ' Karl Malden']",['David Swift'],8.6
